grp , pp , S , IDR , IDL , q4R
2,5,7,2,1,0.78399
2,5,7,2,1,0.72141
2,5,7,2,1,0.86883
2,5,7,2,1,0.78399
2,5,7,2,2,0.82917
2,5,7,2,2,0.75279
2,5,7,2,2,0.82046
2,5,7,2,2,0.82917
2,5,7,2,2,0.75279
2,5,7,2,2,0.82046
2,5,7,3,1,0.8516
2,5,7,3,1,0.88763
2,5,7,3,1,0.8441
2,5,7,3,1,0.8516
2,5,7,3,1,0.88763
2,5,7,3,1,0.8441
2,5,7,3,2,0.92426
2,5,7,3,2,0.89743
2,5,7,3,2,0.76341
2,5,7,3,2,0.92426
2,5,7,3,2,0.89743
2,5,7,3,2,0.76341
2,7,1,1,1,0.71452
2,7,1,1,1,0.68787
2,7,1,1,1,0.60806
2,7,1,1,1,0.71452
2,7,1,1,1,0.68787
2,7,1,1,1,0.60806
2,7,1,1,2,0.6261
2,7,1,1,2,0.63354
2,7,1,1,2,0.68288
2,7,1,1,2,0.6261
2,7,1,1,2,0.63354
2,7,1,1,2,0.68288
2,7,1,2,1,0.62801
2,7,1,2,1,0.56065
2,7,1,2,1,0.73812
2,7,1,2,1,0.62801
2,7,1,2,1,0.56065
2,7,1,2,1,0.73812
2,7,1,2,2,0.76617
2,7,1,2,2,0.86738
2,7,1,2,2,0.86599
2,7,1,2,2,0.76617
2,7,1,2,2,0.86738
2,7,1,2,2,0.86599
2,7,1,3,1,0.50897
2,7,1,3,1,0.64132
2,7,1,3,1,0.70894
2,7,1,3,1,0.50897
2,7,1,3,1,0.64132
2,7,1,3,1,0.70894
2,7,1,3,2,1.0091
2,7,1,3,2,1.0334
2,7,1,3,2,0.8934
2,7,1,3,2,1.0091
2,7,1,3,2,1.0334
2,7,1,3,2,0.8934
2,7,4,1,1,0.70024
2,7,4,1,1,0.60874
2,7,4,1,1,0.66368
2,7,4,1,1,0.70024
2,7,4,1,1,0.60874
2,7,4,1,1,0.66368
2,7,4,1,2,0.53801
2,7,4,1,2,0.62577
2,7,4,1,2,0.65369
2,7,4,1,2,0.53801
2,7,4,1,2,0.62577
2,7,4,1,2,0.65369
2,7,4,2,1,0.60297
2,7,4,2,1,0.64663
2,7,4,2,1,0.65322
2,7,4,2,1,0.60297
2,7,4,2,1,0.64663
2,7,4,2,1,0.65322
2,7,4,2,2,0.84124
2,7,4,2,2,0.87697
2,7,4,2,2,0.85864
2,7,4,2,2,0.84124
2,7,4,2,2,0.87697
2,7,4,2,2,0.85864
