grp , pp , S , IDR , IDL , IPerfL
1,2,1,2,1,2.9209
1,2,1,2,1,2.5234
1,2,1,2,1,2.9517
1,2,1,2,1,3.0551
1,2,1,2,1,3.1983
1,2,1,2,1,3.1324
1,2,1,2,1,2.5282
1,2,1,2,1,3.6703
1,2,1,2,1,3.0852
1,2,1,2,1,3.0586
1,2,1,2,1,2.8582
1,2,1,2,1,2.8069
1,2,1,2,1,3.4357
1,2,1,2,1,2.8233
1,2,1,2,1,4.044
1,2,1,2,1,2.9129
1,2,1,2,1,2.7922
1,2,1,2,1,3.591
1,2,1,2,1,2.7546
1,2,1,2,1,2.9649
1,2,1,2,1,3.0656
1,2,1,2,1,3.4247
1,2,1,2,1,3.0906
1,2,1,2,1,2.5697
1,2,1,2,1,3.32
1,2,1,2,1,3.2196
1,2,1,2,1,3.5742
1,2,1,2,1,2.508
1,2,1,2,1,4.718
1,2,1,2,1,2.5163
1,2,1,2,1,3.6754
1,2,1,2,1,38.846
1,2,1,2,1,40.014
1,2,1,2,1,3.6402
1,2,1,2,1,3.5742
1,2,1,2,1,2.8143
1,2,1,2,1,3.4921
1,2,1,2,1,3.3055
1,2,1,2,1,2.929
1,2,1,2,1,3.078
1,2,1,2,1,2.7907
1,2,1,2,1,3.2831
1,2,1,2,1,4.1223
1,2,1,2,1,2.6451
1,2,1,2,1,3.1754
1,2,1,2,1,3.5151
1,2,1,2,1,2.8069
1,2,1,2,1,3.3325
1,2,1,2,1,2.8582
1,2,1,2,1,3.3471
1,2,1,2,1,3.5838
1,2,1,2,1,3.683
1,2,1,2,1,32.65
1,2,1,2,1,24.413
1,2,1,2,1,3.0996
1,2,1,2,1,3.3619
1,2,1,2,1,1.3501
1,2,1,2,1,3.7399
1,2,1,2,1,3.4921
1,2,1,2,1,4.5487
1,2,1,2,1,3.8398
1,2,1,2,1,4.0318
1,2,1,2,1,3.267
1,2,1,2,1,3.7112
1,2,1,2,1,3.263
